taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
R200406125_S3_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
R200504146_S19_L001,B.1.451,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0171_S1_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0172_S2_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0173_S3_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0174_S4_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0176_S6_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0182_S12_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0183_S13_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0187_S17_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0188_S18_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0189_S19_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0191_S21_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0195_S25_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0196_S26_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0197_S27_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0198_S28_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0200_S30_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0201_S31_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0203_S33_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0204_S34_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0205_S35_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0206_S36_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0208_S38_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0211_S41_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0212_S42_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0213_S43_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0217_S47_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0218_S1_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0219_S2_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0221_S4_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0223_S5_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0224_S6_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0225_S7_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0226_S8_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0227_S9_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0229_S11_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0230_S12_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0231_S13_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0232_S14_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0233_S15_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0236_S16_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0237_S17_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0238_S18_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0239_S19_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0240_S20_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0241_S1_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0243_S3_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0244_S4_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0245_S5_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0247_S7_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0249_S9_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0250_S10_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0251_S11_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0252_S12_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0253_S13_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0254_S14_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0255_S15_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0258_S18_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0259_S19_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0260_S20_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0261_S21_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0262_S22_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0263_S23_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0264_S24_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0265_S25_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0266_S26_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0271_S30_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0272_S31_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0273_S32_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0274_S33_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0275_S34_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0276_S35_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0277_S36_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0278_S37_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0279_S38_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0280_S39_L001,B.1.1.231,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0281_S40_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0282_S41_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0283_S42_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0284_S43_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0285_S44_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
